"","company","region","seniority","job_category","gender","ethnicity","count","inflow","outflow","salary","year"
"1","Bristol Myers Squibb Co.","Eastern Europe",5,"Sales","male","multiple",0.012132,0,0,550.299523195509,"2020"
"2","Apple","Central and Western Asia",1,"Sales","female","hispanic",46.399287,0.016951,0.015084,938888.859672302,"2020"
"3","The Home Depot","Western Europe",2,"Admin","male","multiple",0.084134,4.6e-05,4.3e-05,9310.42776740739,"2020"
"4","Bristol Myers Squibb Co.","Northern America",2,"Marketing","female","white",102.14666,2.661499,3.232238,7946382.19738378,"2020"
"5","The Goldman Sachs Group","Central and Western Asia",3,"Finance","male","hispanic",0.027709,0,0,2313.0638881576,"2020"
"6","The Home Depot","Eastern Asia",1,"Scientist","female","native",0.00696999999999999,0,0,87.0139037851481,"2020"
"7","Apple","Northern Europe",6,"Finance","male","api",0.011585,0,0,896.836265702461,"2020"
"8","The Home Depot","Eastern Europe",3,"Marketing","female","hispanic",0,0,0,NA,"2020"
"9","Accenture Plc","Sub-Saharan Africa",5,"Operations","male","white",24.956738,0.011408,0.014775,1175713.70770428,"2020"
"10","Bristol Myers Squibb Co.","Eastern Europe",2,"Scientist","male","hispanic",0.580871,0.000591,0.011076,22166.2249537834,"2020"
"11","Bristol Myers Squibb Co.","Southern Europe",4,"empty","female","white",2.393058,0.00105499999999999,0.00069999999999999,142806.272042227,"2020"
"12","Apple","Southern Europe",3,"Admin","male","api",4.357966,0.028049,0.000389,316912.78259349,"2020"
"13","Accenture Plc","Southern Asia",5,"Finance","male","white",14.587716,0.011033,0.045237,300355.335547235,"2020"
"14","Bristol Myers Squibb Co.","Arab States",4,"Scientist","female","hispanic",0.615515,0.00097099999999999,0.00010399999999999,38935.4770772618,"2020"
"15","The Home Depot","Eastern Asia",1,"Sales","female","white",6.557843,0.003128,0.003491,179032.966084066,"2020"
"16","The Goldman Sachs Group","Arab States",1,"Engineer","female","api",0.017407,0,0,503.946262655196,"2020"
"17","Apple","Southern Europe",5,"empty","male","white",0,0,0,NA,"2020"
"18","Bristol Myers Squibb Co.","South-Eastern Asia",3,"Finance","male","multiple",0.057651,2.4e-05,2.2e-05,2649.12518448639,"2020"
"19","The Home Depot","Eastern Asia",2,"Marketing","female","white",0.143575,0.00017799999999999,0.000114,3713.6487981078,"2020"
"20","Bristol Myers Squibb Co.","Northern America",5,"Sales","male","native",0.957686,0.033408,0.026525,114429.162379528,"2020"
"21","Apple","Arab States",5,"Engineer","female","white",6.326051,0.00069999999999999,0.000684,740899.66657383,"2020"
"22","Bristol Myers Squibb Co.","Pacific Islands",3,"Engineer","male","multiple",0.046949,4.3e-05,6.8e-05,4522.25542569803,"2020"
"23","The Home Depot","Sub-Saharan Africa",4,"Engineer","female","black",0,0,0,NA,"2020"
"24","Bristol Myers Squibb Co.","Western Europe",2,"Finance","female","multiple",0.305632,0.00394499999999999,0.00189299999999999,22081.7732380775,"2020"
"25","Bristol Myers Squibb Co.","Central America and the Caribbean",4,"empty","male","native",0,0,0,NA,"2020"
"26","The Goldman Sachs Group","South-Eastern Asia",4,"Engineer","male","hispanic",0.198559,0.002147,3.5e-05,8490.3253235239,"2020"
"27","Apple",NA,2,"Marketing","male","multiple",12.757475,0.112719,0.130415,753856.576017415,"2020"
"28","The Home Depot","Sub-Saharan Africa",4,"Finance","male","api",0.005,0,0,58.7226042642402,"2020"
"29","The Home Depot","South-Eastern Asia",5,"Engineer","male","multiple",0,0,0,NA,"2020"
"30","Bristol Myers Squibb Co.","Southern Asia",5,"Marketing","male","white",0,0,0,NA,"2020"
"31","Accenture Plc","South-Eastern Asia",2,"Operations","female","native",2.113032,0.013987,0.019941,35913.1107613114,"2020"
"32","Apple","Pacific Islands",3,"Marketing","male","multiple",0.790047,0.000553,0.00086399999999999,60013.3876364238,"2020"
"33","Accenture Plc","Central America and the Caribbean",4,"Marketing","female","multiple",0.757489,0.000214,0.00214299999999999,30660.6954010038,"2020"
"34","Accenture Plc","Eastern Europe",3,"Engineer","male","hispanic",36.793569,0.229216,1.044877,1390539.94986274,"2020"
"35","The Goldman Sachs Group","Southern Asia",6,"Scientist","female","white",0.00899999999999999,0,0,184.749029360377,"2020"
"36","Bristol Myers Squibb Co.","Northern Europe",6,"Operations","male","hispanic",0.018,0,0,3611.64218465879,"2020"
"37","Accenture Plc","Southern Europe",4,"Sales","female","hispanic",42.206281,1.276444,1.130971,2803674.01800562,"2020"
"38","Bristol Myers Squibb Co.","Southern Europe",1,"Sales","male","hispanic",26.452771,0.00576,0.028627,1224282.25131072,"2020"
"39","Bristol Myers Squibb Co.","Sub-Saharan Africa",3,"Admin","female","native",0.011091,0,0,515.058150564977,"2020"
"40","Bristol Myers Squibb Co.","Central America and the Caribbean",5,"Operations","female","black",0.002487,0,0,147.52976786563,"2020"
"41","The Goldman Sachs Group","Southern Asia",1,"Marketing","female","api",23.648441,0.014812,0.00736199999999999,282806.050096458,"2020"
"42","The Home Depot","Eastern Asia",1,"empty","female","multiple",0.350281,9.3e-05,8.6e-05,23692.6756581459,"2020"
"43","The Home Depot","Central America and the Caribbean",6,"Sales","female","black",0,0,0,NA,"2020"
"44","Bristol Myers Squibb Co.","Sub-Saharan Africa",3,"Scientist","male","native",0.00374699999999999,0,0,335.665390740903,"2020"
"45","Apple","Sub-Saharan Africa",6,"Admin","male","white",0.001,0,0,47.5851203989053,"2020"
"46","The Goldman Sachs Group","Northern Africa",4,"Marketing","male","hispanic",0.014,0,0,385.636016907983,"2020"
"47","Accenture Plc","Western Europe",3,"Sales","female","white",318.311548,4.255206,7.385875,26294236.843615,"2020"
"48","Apple","Eastern Europe",3,"Scientist","female","multiple",0.019,0,0,1523.92283595093,"2020"
"49","The Home Depot","Eastern Europe",1,"Sales","female","black",2.275016,0.001763,0.00127,94891.3969519803,"2020"
